WARNING ,Connection established: True
WARNING ,GPSNavInit
WARNING ,goodFix and end GPSNavInit
WARNING ,End initialize IMU & GPS
WARNING ,begin calibrateMag
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 146.485456
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 149.941418
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 139.954033
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 143.872885
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 157.265506
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 139.284817
INFO    ,bearRel: 159.026039
